1,Angelica
2,Balsam Fir
3,Basil
4,Bergamot
5,Black Pepper
6,Black Spruce
7,Blue Spruce
8,Blue Tansy
9,Caraway
10,Cardamom
11,Carot Seed
12,Cassia
13,Cedarwood
14,Celery Seed
15,Cinnamon
16,Cistus
17,Citronella
18,Clary Sage
19,Clove
20,Coriander
21,Copaiba
22,Cumin
23,Cypress
24,Dill
25,Elemi
26,Eucalyptus
27,Fennel
28,Frankincense
29,Geranium
30,Ginger
31,Goldenrod
32,Grapefruit
33,Helichrysum
34,Hinoki
35,Hyssop
36,Hong Kuai
37,Jade Lemon
38,Jasmin
39,Juniper
40,Laurus Nobilis
41,Lavender
42,Ledum
43,Lemon
44,Lemon Myrtle
45,Lemongrass
46,Lime
47,Marjoram
48,Melissa
49,Myrrh
50,Myrtle
51,Neroli
52,Nutmeg
53,Ocotea
54,Onycha
55,Orange
56,Oregano
57,Palo Santo
58,Patchouly
59,Peppermint
60,Pine
61,Ravintsara
62,Roman Camomile
63,Rose
64,Rosemary
65,Sandalwood
66,Spearmint
67,Tangerine
68,Tarragon
69,Tea Tree
70,Thyme
71,Valerian
72,Vanilla
73,Vetiver
74,Ylang Ylang
75,Wintergreen
