1,Šaknys
2,Prieskoniai
3,Sėklos
4,Mediena
5,Žolynai
6,Lapai
7,Spygliai
8,Žiedai
9,Vaisiai
10,Sakai
11,Citrusiniai
12,Prieskoniai
13,Žolynai
14,Kamparo
15,Spygliuočiai
16,Vyriški
17,Moteriški
18,Kultiniai
19,1
20,2
21,3
22,4
23,5
24,6
25,7
26,Nervų
27,Kraujotakos
28,Kvėpavimo
29,Virškinimo
30,Žarnyno
31,Urologinė
32,Imuninė
33,Emocinė
34,Hormoninė
35,Reprodukcinė
36,Judamojo ir atramos
37,Jungiamojo audinio
38,Limfos
39,Stimuliuojantys
40,Atpalaiduojantys
41,Adaptogenai
42,Afrodiziakai
43,Antidepresantai
44,Viršutinė
45,Širdies
46,Bazinė
